Date,Open_min,Open_max,Open_std,Open_mean,High_min,High_max,High_std,High_mean,Low_min,Low_max,Low_std,Low_mean,Close_min,Close_max,Close_std,Close_mean,Vol_BTC_min,Vol_BTC_max,Vol_BTC_std,Vol_BTC_mean,Vol_Currency_min,Vol_Currency_max,Vol_Currency_std,Vol_Currency_mean,Wt_Price_min,Wt_Price_max,Wt_Price_std,Wt_Price_mean,score,date
2018-03-04,11058.93,11511.0,115.39643971115815,11241.75062500002,11073.02,11511.0,116.00431917305104,11247.493493055572,11054.91,11502.6,114.7252506854511,11236.083256944454,11058.59,11509.93,115.51609569272594,11242.097152777793,0.0006155,484.33894215,16.11478296403166,4.764391200125001,6.890725615,5483271.3285,182467.21707948542,53741.19377181585,11061.171048999999,11508.370551,115.508496154078,11241.63840684166,4.1245909983,2018-03-04
2017-12-19,16849.16,19113.32,540.6397098499026,18321.422215277762,16892.97,19160.79,532.882093999347,18343.25347916665,16831.26,19088.06,549.4428325296482,18294.02502777779,16849.16,19113.32,540.9429250815303,18320.41626388884,0.07573415,303.15702079,21.88426197855203,14.967976142618031,1430.1372908,5147926.1835,384996.2064513049,269205.52040692494,16859.744036,19098.512406,541.2112904992508,18318.28161548887,4.1245734656,2017-12-19
2017-12-24,12499.99,14619.0,497.11847878783095,13656.271666666653,12540.39,14619.1,493.59423764126984,13685.862340277821,12488.0,14582.6,496.6025275848575,13620.099291666655,12499.99,14600.0,497.04030988910256,13656.086034722228,0.01564631,359.42483378,20.786597010833983,12.860756473986099,204.89798851,5067908.0144,280907.8726709203,173941.96086464732,12502.754693,14608.972793,496.37609685517214,13652.628406286822,4.0966478553,2017-12-24
2017-12-20,15483.23,17939.99,449.3402404292439,16835.57545833334,15506.09,17950.0,445.8021208095878,16866.888812500016,15343.04,17878.53,453.7299224436343,16797.716881944452,15450.0,17920.34,448.37577893003044,16834.521375000026,0.58806089,296.16977042,25.803816645957138,21.647381115763892,10081.540083,4604197.9146,426352.24150929204,362048.9934780416,15399.792288999999,17936.821622,449.2846920117806,16831.69035647014,4.0898930234,2017-12-20
2017-12-22,11200.0,15795.5,836.715679136916,13762.157527777757,11250.12,15795.61,827.6340317995443,13810.352763888892,11159.93,15783.0,844.053217953901,13710.411187500013,11200.0,15783.0,835.4958785396367,13761.145826388869,0.07366756,317.03030496,39.449916617348286,39.89279338809719,1046.0056844,4238645.4462,505925.1789699424,536217.6949273001,11185.521621,15789.52655,835.459423024583,13759.479205877766,4.0872195923,2017-12-22
2018-02-22,9731.28,10934.99,353.93807443316956,10273.241131944487,9739.14,10935.0,352.72609291238354,10284.450847222253,9731.2,10928.19,355.0869810684675,10260.976729166678,9731.31,10935.0,354.04437072764085,10272.655520833341,0.00080788,488.56655569,26.722115927821175,14.034569814437502,8.419991960399999,4993126.7071,271967.70690638,143129.0511513701,9731.8911684,10932.218046,354.0889792747601,10272.359807317222,4.0839273203,2018-02-22
2017-12-28,13500.0,15466.79,417.8648017593976,14249.407201388902,13559.95,15474.19,414.1337844884767,14277.564465277777,13500.0,15415.39,418.64164251358244,14216.34013194446,13500.0,15455.0,417.0029817373101,14248.632048611133,0.03478,340.92305274,17.636425161122776,11.498067585215251,532.70659043,4671106.652,247061.54282938258,162797.62398518453,13533.138938,15463.203289,416.6482708166698,14246.326809279137,4.0572907798,2017-12-28
2018-02-06,5945.95,8150.0,543.497215787438,6827.44482638889,5975.06,8150.0,542.6109032386768,6852.23821527778,5920.72,8130.01,542.1731944660672,6804.671611111112,5944.0,8150.0,543.7340564752385,6828.462006944439,0.61620319,511.90826124,57.40926737185858,49.27872892934726,3838.3137420999997,4168012.0710000005,411253.91120599344,338544.75419656996,5949.997212300001,8142.1074567000005,543.6585001837041,6828.327463351177,4.0425958579,2018-02-06
2018-01-14,13099.98,14365.81,319.14745669299754,13680.841847222226,13144.16,14365.81,318.20247189335953,13695.52052083334,13072.22,14355.59,320.86393222856015,13663.303520833382,13099.98,14365.81,320.15522712454316,13679.928909722257,0.00481845,345.89618991,13.052647136863204,5.270530583694454,68.69045395,4620885.9059,175154.17669007933,71386.67495800878,13104.659559,14365.706435,320.3529222234099,13679.825228031243,4.0393698413,2018-01-14
2018-04-20,8222.73,8926.04,137.49289113175283,8445.218069444458,8238.53,8934.0,138.79068877792884,8450.221687500016,8216.9,8910.0,136.49661722302278,8439.539006944433,8227.57,8927.5,137.66749086495074,8445.635604166675,0.020333900000000002,536.9525012,26.33217950139288,11.152515743986102,172.78304513,4500352.623,222734.0482409485,94630.48627481228,8226.7368168,8922.1165408,137.53422537566848,8445.13683254687,4.0209953643,2018-04-20
